scenario,num_nodes,sim_time_sec,data_tx,root_rx,pdr,data_drop,data_fwd,attack_rate_logged,actual_drop_rate
scenario_a_low_exposure,10,3595.113,991,992,1.0010090817356205,0,0,0.0,
scenario_a_low_exposure,10,3595.113,991,992,1.0010090817356205,0,0,0.2,
scenario_a_low_exposure,10,3595.113,991,992,1.0010090817356205,0,0,0.4,
scenario_a_low_exposure,10,3595.113,991,992,1.0010090817356205,0,0,0.6,
scenario_a_low_exposure,10,3595.113,991,992,1.0010090817356205,0,0,0.8,
scenario_a_low_exposure,10,3595.113,991,992,1.0010090817356205,0,0,1.0,
scenario_b_high_exposure,10,3591.799,991,991,1.0,0,881,0.0,0.0
scenario_b_high_exposure,10,3596.143,994,815,0.8199195171026157,180,705,0.2,0.2033898305084746
scenario_b_high_exposure,10,3599.484,991,638,0.6437941473259334,354,529,0.4,0.40090600226500567
scenario_b_high_exposure,10,3598.117,992,439,0.4425403225806452,554,329,0.6,0.6274065685164213
scenario_b_high_exposure,10,3592.777,992,276,0.2782258064516129,716,167,0.8,0.8108720271800679
scenario_b_high_exposure,10,3599.108,995,111,0.11155778894472362,885,0,1.0,1.0
scenario_b_high_exposure_20,20,3599.294,2099,2103,1.0019056693663648,0,1991,0.0,0.0
scenario_b_high_exposure_20,20,3598.616,2095,1667,0.7957040572792363,431,1555,0.2,0.21701913393756295
scenario_b_high_exposure_20,20,3599.109,2099,1304,0.621248213434969,805,1190,0.4,0.40350877192982454
scenario_b_high_exposure_20,20,3597.514,2093,877,0.4190157668418538,1219,767,0.6,0.6137965760322256
scenario_b_high_exposure_20,20,3599.604,2099,514,0.24487851357789422,1592,402,0.8,0.79839518555667
scenario_b_high_exposure_20,20,3598.16,2103,111,0.052781740370898715,1994,0,1.0,1.0
scenario_c_high_pd,10,3587.577,990,990,1.0,0,440,0.0,0.0
scenario_c_high_pd,10,3599.578,994,905,0.9104627766599598,90,355,0.2,0.20224719101123595
scenario_c_high_pd,10,3599.589,997,805,0.8074222668004012,192,252,0.4,0.43243243243243246
scenario_c_high_pd,10,3597.11,990,742,0.7494949494949495,248,191,0.6,0.5649202733485194
scenario_c_high_pd,10,3598.587,994,634,0.6378269617706237,360,81,0.8,0.8163265306122449
scenario_c_high_pd,10,3597.109,993,554,0.5579053373615307,440,0,1.0,1.0
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,0.0,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,0.2,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,0.4,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,0.6,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,0.8,
scenario_d_apl_bc,10,3598.119,995,996,1.0010050251256282,0,0,1.0,
